大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ブロンド ラテ with オーツ ミルク（アイス）,,119.0,2.7,6.3,13.4,0.3,1.2,12.2,114.0,189.0,0.0,0.7,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,エスプレッソ ソロ,,5.0,0.4,0.0,1.1,0.0,0.3,0.8,0.0,124.0,0.0,0.0,80.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（ホット）,ミルク,219.0,11.4,9.7,22.4,0.3,1.0,21.4,122.0,801.0,0.3,5.7,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（ホット）,低脂肪タイプ,184.0,11.4,5.2,23.3,0.5,1.0,22.4,195.0,855.0,0.1,3.1,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（ホット）,無脂肪乳,149.0,11.4,0.8,24.3,0.7,1.0,23.3,268.0,909.0,0.0,0.4,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（ホット）,豆乳（調製豆乳）,207.0,10.8,11.6,15.9,0.6,1.5,14.3,180.0,823.0,0.0,1.7,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（ホット）,アーモンドミルク,161.0,2.8,11.4,14.7,0.6,5.6,9.1,226.0,423.0,0.0,7.3,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（ホット）,オーツミルク,211.0,4.8,9.7,27.3,0.4,2.4,24.9,175.0,471.0,0.0,1.0,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（ホット）,ブレべ,653.0,8.5,59.3,22.1,0.3,1.0,21.2,134.0,700.0,0.6,37.7,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（アイス）,ミルク,110.0,5.3,3.9,14.1,0.1,1.0,13.1,50.0,545.0,0.1,2.3,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（アイス）,低脂肪タイプ,96.0,5.3,2.1,14.5,0.2,1.0,13.5,79.0,567.0,0.1,1.3,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（アイス）,無脂肪乳,82.0,5.3,0.3,14.8,0.3,1.0,13.9,109.0,589.0,0.0,0.2,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（アイス）,豆乳（調製豆乳）,105.0,5.1,4.7,11.4,0.2,1.2,10.2,73.0,554.0,0.0,0.7,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（アイス）,アーモンドミルク,87.0,1.8,4.6,10.9,0.2,2.8,8.1,92.0,392.0,0.0,3.0,239.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,トリプル エスプレッソ ラテ（アイス）,オーツミルク,107.0,2.6,3.9,16.0,0.2,1.5,14.5,71.0,412.0,0.0,0.4,239.0
