大ジャンル,商品カテゴリ,letter,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用,タンパク質_per_エネルギー,食物繊維_per_エネルギー,ナトリウム_per_エネルギー,カリウム_per_エネルギー,脂質_per_エネルギー,食塩相当量_per_エネルギー,糖質_per_エネルギー,トランス脂肪酸_per_エネルギー,飽和脂肪酸_per_エネルギー,カフェイン_per_エネルギー,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,健康偏差値,不健康偏差値
ビバレッジ,コーヒー,コールドブリュー コーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785324732/4524785324732_11_s.jpg,image_f2417ac9-1876-4869-a9c1-6c40dcadf41b.png,https://menu.starbucks.co.jp/4524785324732,10.0,0.4,0.0,2.3,0.01,0.6,1.6,5.0,205.0,0.0,0.0,144.0,,0.04,0.06,0.5,20.5,0.0,0.001,0.16,0.0,0.0,14.4,54.4,92.1,46.2,74.6,33.4,46.8,56.7,40.7,34.6,66.825,42.44
ビバレッジ,コーヒー,コーヒー プレス,https://asset.menu.starbucks.co.jp/public/sku_images/4524785046856/4524785046856_11_s.jpg,image_56e79928-2687-487e-8d75-90b7e46e8586.png,https://menu.starbucks.co.jp/4524785046856,17.0,1.0,0.0,3.1,0.01,0.7,2.4,5.0,374.0,0.0,0.0,255.0,,0.0588235294117647,0.0411764705882352,0.2941176470588235,22.0,0.0,0.0005882352941176,0.1411764705882353,0.0,0.0,15.0,61.4,77.1,43.5,76.8,33.4,45.5,53.1,40.7,34.6,64.7,41.46
ビバレッジ,コーヒー,オリアート™ ゴールデンフォーム™ コールド ブリュー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785542563/4524785542563_11_s.jpg,image_367f1386-ef8b-44c0-8515-73d557602cbf.png,https://menu.starbucks.co.jp/4524785542563,256.0,1.0,23.8,11.5,0.04,,,,,,,,,0.00390625,,,,0.09296875,0.00015625,,,,,41.0,50.0,50.0,50.0,73.0,44.2,50.0,50.0,50.0,47.75,53.44
ビバレッジ,エスプレッソ,ジンジャーブレッド ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785033153/4524785033153_11_s.jpg,image_d397efa3-3550-44d9-8667-2e524a938dcd.png,https://menu.starbucks.co.jp/4524785033153,320.0,11.4,16.3,32.1,0.3,0.4,31.8,138.0,592.0,0.3,9.9,80.0,,0.035625,0.00125,0.43125,1.85,0.0509375,0.0009375,0.099375,0.0009375,0.0309375,0.25,52.8,45.2,45.3,47.6,55.1,46.6,45.3,60.9,62.3,47.725,54.04
ビバレッジ,エスプレッソ,スターバックス ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000223/4524785000223_11_s.jpg,image_4e260e8a-98d1-449b-a761-b46ae59bc495.png,https://menu.starbucks.co.jp/4524785000223,223.0,12.5,11.5,17.7,0.3,0.3,17.4,144.0,635.0,0.3,6.7,80.0,,0.0560538116591928,0.0013452914798206,0.6457399103139013,2.8475336322869955,0.0515695067264574,0.0013452914798206,0.0780269058295964,0.0013452914798206,0.0300448430493273,0.358744394618834,60.3,45.2,48.1,49.0,55.4,47.9,41.3,69.6,61.5,50.65,55.14
ビバレッジ,エスプレッソ,ソイ ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785047396/4524785047396_11_s.jpg,image_5cb9a514-348d-4782-a793-334bc0461e3a.png,https://menu.starbucks.co.jp/4524785047396,208.0,11.8,13.8,10.0,0.7,1.0,9.0,213.0,661.0,0.0,2.0,80.0,,0.0567307692307692,0.0048076923076923,1.0240384615384617,3.1778846153846154,0.0663461538461538,0.0033653846153846,0.0432692307692307,0.0,0.0096153846153846,0.3846153846153846,60.6,48.0,53.1,49.5,61.7,54.2,34.7,40.7,43.2,52.8,46.9
ビバレッジ,エスプレッソ,アーモンドミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785433106/4524785433106_11_s.jpg,image_894290d2-9bfe-479d-aa06-e20f23688393.png,https://menu.starbucks.co.jp/4524785433106,159.0,2.9,13.4,9.1,0.6,4.5,4.6,234.0,200.0,0.0,0.9,80.0,,0.0182389937106918,0.0283018867924528,1.471698113207547,1.2578616352201255,0.0842767295597484,0.0037735849056603,0.0289308176100628,0.0,0.0056603773584905,0.5031446540880503,46.3,66.8,59.0,46.7,69.3,55.5,32.1,40.7,39.6,54.7,47.44
ビバレッジ,エスプレッソ,オーツミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785433021/4524785433021_11_s.jpg,image_b8adf003-3c82-49d9-8ce8-593627bd4e8c.png,https://menu.starbucks.co.jp/4524785433021,213.0,4.7,11.5,23.5,0.5,2.0,21.5,207.0,242.0,0.0,1.2,80.0,,0.0220657276995305,0.0093896713615023,0.971830985915493,1.136150234741784,0.0539906103286385,0.0023474178403755,0.1009389671361502,0.0,0.0056338028169014,0.3755868544600939,47.7,51.7,52.4,46.5,56.4,51.0,45.6,40.7,39.6,49.575,46.66
ビバレッジ,エスプレッソ,カプチーノ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000285/4524785000285_11_s.jpg,image_0b0a8035-a2c3-4d35-b992-002f6c403bb1.png,https://menu.starbucks.co.jp/4524785000285,114.0,6.5,5.8,9.4,0.2,0.3,9.1,72.0,380.0,0.2,3.4,80.0,,0.0570175438596491,0.0026315789473684,0.631578947368421,3.333333333333333,0.0508771929824561,0.0017543859649122,0.0798245614035087,0.0017543859649122,0.0298245614035087,0.7017543859649122,60.7,46.3,47.9,49.7,55.1,49.2,41.6,78.4,61.3,51.15,57.12
ビバレッジ,エスプレッソ,カフェ モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000254/4524785000254_11_s.jpg,image_581178ab-926d-4dff-98c3-bb8b83314644.png,https://menu.starbucks.co.jp/4524785000254,399.0,12.6,18.7,46.9,0.3,2.8,44.1,131.0,845.0,0.3,10.2,95.0,,0.031578947368421,0.0070175438596491,0.3283208020050125,2.117794486215539,0.0468671679197994,0.0007518796992481,0.1105263157894736,0.0007518796992481,0.025563909774436,0.238095238095238,51.3,49.8,43.9,48.0,53.4,46.0,47.4,56.9,57.5,48.25,52.24
ビバレッジ,エスプレッソ,ホワイト モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785034532/4524785034532_11_s.jpg,image_9f2d7489-cc7d-4df0-91db-be53b54b2c7b.png,https://menu.starbucks.co.jp/4524785034532,401.0,12.8,18.3,46.8,0.5,0.4,46.4,227.0,675.0,0.3,11.5,80.0,,0.0319201995012468,0.0009975062344139,0.5660847880299252,1.6832917705735662,0.0456359102244389,0.0012468827930174,0.1157107231920199,0.0007481296758104,0.0286783042394014,0.199501246882793,51.4,45.0,47.1,47.3,52.8,47.6,48.3,56.8,60.3,47.7,53.16
