大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用,タンパク質_per_エネルギー,食物繊維_per_エネルギー,ナトリウム_per_エネルギー,カリウム_per_エネルギー,脂質_per_エネルギー,食塩相当量_per_エネルギー,糖質_per_エネルギー,トランス脂肪酸_per_エネルギー,飽和脂肪酸_per_エネルギー,カフェイン_per_エネルギー,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,健康偏差値,不健康偏差値,limited,季節のおすすめ,timestamp
ビバレッジ,フラペチーノ®,エスプレッソ  アフォガート フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785344143/4524785344143_11_s.jpg,image_db8149ca-3f1d-4721-bf0f-c0f2036a1a3a.png,https://menu.starbucks.co.jp/4524785344143,438.0,4.2,28.5,41.7,0.5,0.7,41.0,189.0,433.0,0.4,18.2,160.0,,0.0095890410958904,0.0015981735159817,0.4315068493150685,0.9885844748858448,0.0650684931506849,0.0011415525114155,0.093607305936073,0.0009132420091324,0.0415525114155251,0.365296803652968,43.5,45.3,45.2,46.5,61.8,47.1,44.2,60.1,71.1,45.125,56.86,False,False,2023-12-29
ビバレッジ,フラペチーノ®,コーヒー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165731/4524785165731_11_s.jpg,image_fbbdcd42-371b-4390-8828-4ee2ae51072a.png,https://menu.starbucks.co.jp/4524785165731,170.0,2.6,2.2,35.0,0.4,0.1,34.9,164.0,238.0,0.1,1.3,86.0,,0.0152941176470588,0.0005882352941176,0.9647058823529412,1.4,0.0129411764705882,0.0023529411764705,0.2052941176470588,0.0005882352941176,0.0076470588235294,0.5058823529411764,45.5,44.5,52.0,47.1,39.4,50.8,64.6,53.3,41.5,47.275,49.92,False,False,2023-12-29
ビバレッジ,フラペチーノ®,ダーク モカ チップ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785166059/4524785166059_11_s.jpg,image_fc940bc8-055f-422f-a443-2acbbfeb55e4.png,https://menu.starbucks.co.jp/4524785166059,341.0,5.3,15.2,45.9,0.5,2.1,43.7,211.0,585.0,0.2,9.7,98.0,,0.0155425219941348,0.0061583577712609,0.6187683284457478,1.715542521994135,0.044574780058651,0.001466275659824,0.1281524926686217,0.0005865102639296,0.0284457478005865,0.2873900293255132,45.6,48.9,47.6,47.6,53.0,48.1,50.5,53.2,59.7,47.425,52.9,False,False,2023-12-29
ビバレッジ,フラペチーノ®,キャラメル フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165816/4524785165816_11_s.jpg,image_3fb6c07d-9f5b-428b-abce-7e09fa310433.png,https://menu.starbucks.co.jp/4524785165816,302.0,3.7,12.0,44.9,0.5,0.1,44.8,192.0,289.0,0.2,7.5,86.0,,0.012251655629139,0.0003311258278145,0.6357615894039735,0.956953642384106,0.0397350993377483,0.0016556291390728,0.1483443708609271,0.0006622516556291,0.0248344370860927,0.2847682119205298,44.4,44.3,47.8,46.5,50.9,48.6,54.2,54.8,56.5,45.75,53.0,False,False,2023-12-29
ビバレッジ,フラペチーノ®,抹茶 クリーム フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165892/4524785165892_11_s.jpg,image_1e658eb7-e510-42b4-9e7e-0ffbccab0cd3.png,https://menu.starbucks.co.jp/4524785165892,322.0,5.3,12.7,47.1,0.5,0.9,46.1,184.0,273.0,0.2,7.8,78.0,,0.0164596273291925,0.0027950310559006,0.5714285714285714,0.8478260869565217,0.0394409937888198,0.0015527950310559,0.143167701863354,0.0006211180124223,0.024223602484472,0.2422360248447205,46.0,46.3,47.0,46.3,50.8,48.3,53.2,54.0,56.0,46.4,52.46,False,False,2023-12-29
ビバレッジ,フラペチーノ®,バニラ クリーム フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785165939/4524785165939_11_s.jpg,image_985e4227-8b49-460a-9866-affa9d4a2695.png,https://menu.starbucks.co.jp/4524785165939,255.0,4.5,12.4,31.5,0.5,0.1,31.4,184.0,206.0,0.2,7.7,0.0,,0.0176470588235294,0.000392156862745,0.7215686274509804,0.807843137254902,0.0486274509803921,0.0019607843137254,0.1231372549019607,0.0007843137254901,0.0301960784313725,0.0,46.4,44.4,48.9,46.2,54.8,49.6,49.6,57.4,61.2,46.475,54.52,False,False,2023-12-29
ビバレッジ,フラペチーノ®,マンゴー パッション ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785118751/4524785118751_11_s.jpg,image_1f33763b-af85-4f09-823e-e154f2fdbe8f.png,https://menu.starbucks.co.jp/4524785118751,140.0,0.7,0.0,34.4,0.2,1.0,33.4,95.0,209.0,0.0,0.0,0.0,,0.005,0.0071428571428571,0.6785714285714286,1.4928571428571429,0.0,0.0014285714285714,0.2385714285714285,0.0,0.0,0.0,41.8,49.7,48.4,47.2,33.9,48.0,70.6,40.8,34.8,46.775,45.62,False,False,2023-12-29
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® グレープ ＆ ピーチ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785517479/4524785517479_11_s.jpg,image_726af359-23bb-49f4-b131-0ecc35d31049.png,https://menu.starbucks.co.jp/4524785517479,425.0,7.7,15.2,66.6,0.6,,,,,,,,,0.0181176470588235,,,,0.0357647058823529,0.0014117647058823,,,,,46.6,50.0,50.0,50.0,49.2,47.9,50.0,50.0,50.0,49.15,49.42,True,False,2023-12-29
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® ストロベリー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785479791/4524785479791_11_s.jpg,image_b332788b-c479-41cc-8767-47c69ff09c94.png,https://menu.starbucks.co.jp/4524785479791,360.0,7.9,11.9,57.4,0.6,,,,,,,,,0.0219444444444444,,,,0.0330555555555555,0.0016666666666666,,,,,47.9,50.0,50.0,50.0,48.1,48.7,50.0,50.0,50.0,49.475,49.36,True,False,2023-12-29
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® オレンジ & パッションフルーツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785546974/4524785546974_11_s.jpg,image_05e6fedd-a3b1-45d3-a920-b47467c0a43c.png,https://menu.starbucks.co.jp/4524785546974,399.0,8.2,15.2,59.1,0.6,,,,,,,,,0.0205513784461152,,,,0.038095238095238,0.0015037593984962,,,,,47.4,50.0,50.0,50.0,50.2,48.2,50.0,50.0,50.0,49.35,49.68,True,False,2023-12-29
ビバレッジ,フラペチーノ®,和三蜜 アーモンドミルク フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785487345/4524785487345_11_s.jpg,image_5648b580-ece4-4211-9e1a-a98d662ce556.png,https://menu.starbucks.co.jp/4524785487345,315.0,3.0,18.0,36.7,0.6,,,,,,,,,0.0095238095238095,,,,0.0571428571428571,0.0019047619047619,,,,,43.5,50.0,50.0,50.0,58.4,49.4,50.0,50.0,50.0,48.375,51.56,True,False,2023-12-29
ビバレッジ,フラペチーノ®,クランチー アーモンド チョコレート フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785324671/4524785324671_11_s.jpg,image_30a45b25-9760-4ffe-98b7-c33f9f3ed344.png,https://menu.starbucks.co.jp/4524785324671,472.0,8.4,22.4,60.7,0.6,,,,,,,,,0.0177966101694915,,,,0.047457627118644,0.0012711864406779,,,,,46.4,50.0,50.0,50.0,54.3,47.5,50.0,50.0,50.0,49.1,50.36,True,False,2023-12-29
ビバレッジ,フラペチーノ®,ゆず & シトラス ラベンダー セージ ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445543/4524785445543_11_s.jpg,image_7b6a6920-85a2-4e95-92f8-6a78c8f710b9.png,https://menu.starbucks.co.jp/4524785445543,252.0,0.3,0.1,63.1,0.2,,,,,,,,,0.0011904761904761,,,,0.0003968253968253,0.0007936507936507,,,,,40.4,50.0,50.0,50.0,34.0,46.0,50.0,50.0,50.0,47.6,46.0,True,False,2023-12-29
ビバレッジ,フラペチーノ®,ストロベリー & パッション ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445550/4524785445550_11_s.jpg,image_effbd6c7-a7d5-4d3a-99e7-30a43b0b5454.png,https://menu.starbucks.co.jp/4524785445550,233.0,0.3,5.4,45.9,0.04,,,,,,,,,0.0012875536480686,,,,0.023175965665236,0.0001716738197424,,,,,40.5,50.0,50.0,50.0,43.8,44.1,50.0,50.0,50.0,47.625,47.58,True,False,2023-12-29
ビバレッジ,フラペチーノ®,和三蜜 抹茶 フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445581/4524785445581_11_s.jpg,image_3b84bbe7-8497-4e63-86e5-02eea6934468.png,https://menu.starbucks.co.jp/4524785445581,303.0,6.1,12.7,42.3,0.1,,,,,,,,,0.0201320132013201,,,,0.0419141914191419,0.0003300330033003,,,,,47.3,50.0,50.0,50.0,51.9,44.6,50.0,50.0,50.0,49.325,49.3,True,False,2023-12-29
ビバレッジ,フラペチーノ®,和三蜜 ほうじ茶 フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445598/4524785445598_11_s.jpg,image_26d775db-c65b-42a3-959f-b90ce7e4bf03.png,https://menu.starbucks.co.jp/4524785445598,304.0,5.6,12.8,42.6,0.1,,,,,,,,,0.0184210526315789,,,,0.0421052631578947,0.000328947368421,,,,,46.7,50.0,50.0,50.0,52.0,44.6,50.0,50.0,50.0,49.175,49.32,True,False,2023-12-29
ビバレッジ,ティー｜TEAVANA™,ゆず シトラス & パッション ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785537170/4524785537170_11_s.jpg,image_1780cb99-c90c-4b77-8886-7d26c8f6246c.png,https://menu.starbucks.co.jp/4524785537170,117.0,0.2,0.1,29.3,0.01,0.6,28.6,3.0,67.0,0.0,0.0,0.0,,0.0017094017094017,0.0051282051282051,0.0256410256410256,0.5726495726495726,0.0008547008547008,8.547008547008547e-05,0.2444444444444444,0.0,0.0,0.0,40.6,48.1,40.0,45.9,34.2,43.9,71.7,40.8,34.8,43.65,45.08,False,True,2024-05-07
ビバレッジ,ティー｜TEAVANA™,ゆず シトラス & ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785461154/4524785461154_11_s.jpg,image_5fc83431-72ac-44b8-8fff-a4f908dae459.png,https://menu.starbucks.co.jp/4524785461154,119.0,0.2,0.1,29.3,0.01,0.6,28.7,3.0,101.0,0.0,0.0,101.0,,0.0016806722689075,0.0050420168067226,0.0252100840336134,0.8487394957983193,0.0008403361344537,8.403361344537815e-05,0.2411764705882353,0.0,0.0,0.8487394957983193,40.6,48.0,40.0,46.3,34.2,43.9,71.1,40.8,34.8,43.725,44.96,False,False,2023-12-29
ビバレッジ,ティー｜TEAVANA™,チャイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785034204/4524785034204_11_s.jpg,image_9f78bf39-0201-42ab-82a2-1fd57a18bb3d.png,https://menu.starbucks.co.jp/4524785034204,220.0,6.7,6.3,34.4,0.2,0.2,34.2,82.0,331.0,0.2,3.7,53.0,,0.0304545454545454,0.0009090909090909,0.3727272727272727,1.5045454545454546,0.0286363636363636,0.0009090909090909,0.1554545454545454,0.0009090909090909,0.0168181818181818,0.2409090909090909,51.0,44.8,44.5,47.2,46.2,46.4,55.5,60.1,49.5,46.875,51.54,False,False,2023-12-29
ビバレッジ,ティー｜TEAVANA™,ほうじ茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785154681/4524785154681_11_s.jpg,image_b47ff5eb-cb2e-49b2-a4c6-e8187e61792f.png,https://menu.starbucks.co.jp/4524785154681,162.0,6.9,6.3,19.5,0.2,0.0,19.5,80.0,384.0,0.2,3.7,68.0,,0.0425925925925925,0.0,0.4938271604938271,2.3703703703703702,0.0388888888888888,0.0012345679012345,0.1203703703703703,0.0012345679012345,0.0228395061728395,0.419753086419753,55.4,44.1,46.0,48.5,50.6,47.4,49.1,66.9,54.8,48.5,53.76,False,False,2023-12-29
ビバレッジ,ティー｜TEAVANA™,抹茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785106499/4524785106499_11_s.jpg,image_31ef9df0-5395-459f-8a54-01b571d53d36.png,https://menu.starbucks.co.jp/4524785106499,225.0,7.5,6.6,34.7,0.2,0.9,33.8,80.0,346.0,0.2,3.7,78.0,,0.0333333333333333,0.004,0.3555555555555555,1.5377777777777777,0.0293333333333333,0.0008888888888888,0.1502222222222222,0.0008888888888888,0.0164444444444444,0.3466666666666667,52.1,47.2,44.3,47.3,46.5,46.3,54.5,59.6,49.2,47.725,51.22,False,False,2023-12-29
ビバレッジ,ティー｜TEAVANA™,イングリッシュ ブレックファスト ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785304970/4524785304970_11_s.jpg,image_1210a954-740c-45c6-baa7-35f92ba14727.png,https://menu.starbucks.co.jp/4524785304970,184.0,6.6,6.3,25.1,0.2,0.0,25.1,80.0,339.0,0.2,3.7,101.0,,0.0358695652173913,0.0,0.4347826086956521,1.8423913043478264,0.0342391304347826,0.0010869565217391,0.1364130434782609,0.0010869565217391,0.0201086956521739,0.5489130434782609,53.0,44.1,45.3,47.7,48.6,46.9,52.0,63.8,52.4,47.525,52.74,False,False,2023-12-29
