大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,商品カテゴリ２,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,カフェイン_偏差値,健康偏差値,不健康偏差値
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（アイス）,オーツミルク,139.0,7.5,4.4,17.6,0.6,0.9,16.7,220.0,464.0,0.0,0.6,80.0,エスプレッソ,51.1,46.3,55.8,49.3,43.6,56.8,44.0,42.7,43.1,47.5,50.625,46.283
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（アイス）,ブレべ,318.0,9.1,24.5,15.5,0.5,0.3,15.2,203.0,557.0,0.3,15.5,80.0,エスプレッソ,55.8,42.2,53.6,54.2,56.6,51.8,42.9,60.1,57.8,47.5,51.45,52.783
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（ホット）,ミルク,211.0,8.5,8.4,25.9,0.2,0.3,25.5,106.0,467.0,0.2,4.9,80.0,エスプレッソ,54.0,42.2,40.6,49.5,46.2,37.0,50.3,54.3,47.4,47.5,46.575,47.117
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（ホット）,低脂肪タイプ,184.0,8.5,4.9,26.6,0.4,0.3,26.3,164.0,509.0,0.2,2.9,80.0,エスプレッソ,54.0,42.2,48.4,51.7,43.9,46.9,50.9,54.3,45.4,47.5,49.075,48.15
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（ホット）,無脂肪乳,156.0,8.5,1.4,27.4,0.6,0.3,27.0,222.0,552.0,0.1,0.8,80.0,エスプレッソ,54.0,42.2,56.1,53.9,41.6,56.8,51.4,48.5,43.3,47.5,51.55,48.183
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（ホット）,豆乳（調製豆乳）,202.0,8.0,9.9,20.7,0.5,0.8,20.0,152.0,484.0,0.0,1.8,80.0,エスプレッソ,52.6,45.7,46.7,50.4,47.1,51.8,46.4,42.7,44.3,47.5,48.85,46.633
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（ホット）,アーモンドミルク,166.0,1.7,9.7,19.8,0.5,4.0,15.8,189.0,169.0,0.0,6.2,80.0,エスプレッソ,34.4,67.6,51.7,34.0,47.0,51.8,43.4,42.7,48.6,47.5,46.925,46.833
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（ホット）,オーツミルク,205.0,3.3,8.4,29.7,0.4,1.4,28.3,149.0,207.0,0.0,1.3,80.0,エスプレッソ,39.0,49.8,46.3,36.0,46.2,46.9,52.3,42.7,43.8,47.5,42.775,46.567
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（ホット）,ブレべ,553.0,6.3,47.4,25.7,0.3,0.3,25.3,116.0,387.0,0.5,30.1,80.0,エスプレッソ,47.7,42.2,41.9,45.3,71.4,41.9,50.2,71.7,72.2,47.5,44.275,59.15
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（アイス）,ミルク,204.0,7.9,7.9,25.7,0.2,0.3,25.3,101.0,441.0,0.2,4.7,80.0,エスプレッソ,52.3,42.2,39.9,48.2,45.8,37.0,50.2,54.3,47.2,47.5,45.65,47.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（アイス）,低脂肪タイプ,178.0,7.9,4.7,26.4,0.4,0.3,26.0,154.0,480.0,0.1,2.8,80.0,エスプレッソ,52.3,42.2,47.0,50.2,43.8,46.9,50.7,48.5,45.3,47.5,47.925,47.117
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（アイス）,無脂肪乳,153.0,7.9,1.5,27.0,0.5,0.3,26.7,207.0,519.0,0.1,0.9,80.0,エスプレッソ,52.3,42.2,54.1,52.2,41.7,51.8,51.2,48.5,43.4,47.5,50.2,47.35
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（アイス）,豆乳（調製豆乳）,195.0,7.4,9.3,20.9,0.4,0.7,20.2,143.0,457.0,0.0,1.8,80.0,エスプレッソ,50.9,45.0,45.5,49.0,46.7,46.9,46.5,42.7,44.3,47.5,47.6,45.767
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（アイス）,アーモンドミルク,162.0,1.6,9.2,20.1,0.4,3.7,16.4,176.0,167.0,0.0,5.8,80.0,エスプレッソ,34.1,65.5,50.0,33.9,46.7,46.9,43.8,42.7,48.2,47.5,45.875,45.967
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（アイス）,オーツミルク,198.0,3.1,7.9,29.2,0.3,1.4,27.9,139.0,201.0,0.0,1.3,80.0,エスプレッソ,38.4,49.8,45.0,35.7,45.8,41.9,52.0,42.7,43.8,47.5,42.225,45.617
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,キャラメル マキアート（アイス）,ブレべ,519.0,5.8,43.9,25.5,0.3,0.3,25.1,109.0,367.0,0.5,27.9,80.0,エスプレッソ,46.2,42.2,41.0,44.3,69.2,41.9,50.0,71.7,70.0,47.5,43.425,58.383
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（ホット）,ミルク,399.0,12.6,18.7,46.9,0.3,2.8,44.1,131.0,845.0,0.3,10.2,95.0,エスプレッソ,65.9,59.4,43.9,69.2,52.8,41.9,63.6,60.1,52.6,50.4,59.6,53.567
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（ホット）,低脂肪タイプ,365.0,12.6,14.4,47.8,0.5,2.8,45.0,202.0,898.0,0.2,7.7,95.0,エスプレッソ,65.9,59.4,53.4,71.9,50.0,51.8,64.2,54.3,50.1,50.4,62.65,53.467
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（ホット）,無脂肪乳,331.0,12.6,10.0,48.7,0.7,2.8,46.0,274.0,950.0,0.1,5.1,95.0,エスプレッソ,65.9,59.4,63.0,74.6,47.2,61.7,64.9,48.5,47.5,50.4,65.725,53.367
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（ホット）,豆乳（調製豆乳）,388.0,12.0,20.6,40.5,0.6,3.3,37.2,187.0,867.0,0.1,6.3,95.0,エスプレッソ,64.2,62.8,51.4,70.3,54.1,56.8,58.7,48.5,48.7,50.4,62.175,52.867
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カフェ モカ（ホット）,アーモンドミルク,343.0,4.2,20.4,39.3,0.6,7.3,32.1,233.0,476.0,0.1,11.8,95.0,エスプレッソ,41.6,90.2,57.6,50.0,53.9,56.8,55.0,48.5,54.1,50.4,59.85,53.117
