大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
ビバレッジ,コーヒー,カフェ ミスト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785062870/4524785062870_11_s.jpg,,https://menu.starbucks.co.jp/4524785062870,127kcal,7.2g,6.3g,10.7g,0.2g,0.4g,10.3g,81mg,480mg,0.2g,3.7g,138mg,
ビバレッジ,コーヒー,コールドブリュー コーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785324732/4524785324732_11_s.jpg,,https://menu.starbucks.co.jp/4524785324732,10kcal,0.4g,0.0g,2.3g,0.01g,0.6g,1.6g,5mg,205mg,0.0g,0.0g,144mg,
ビバレッジ,コーヒー,コーヒー プレス,https://asset.menu.starbucks.co.jp/public/sku_images/4524785046856/4524785046856_11_s.jpg,,https://menu.starbucks.co.jp/4524785046856,17kcal,1.0g,0.0g,3.1g,0.01g,0.7g,2.4g,5mg,374mg,0.0g,0.0g,255mg,
ビバレッジ,コーヒー,ポットサービス,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000179/4524785000179_11_s.jpg,,https://menu.starbucks.co.jp/4524785000179,,,,,,,,,,,,,
ビバレッジ,コーヒー,スターバックス® コーヒートラベラー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785410183/4524785410183_11_s.jpg,,https://menu.starbucks.co.jp/4524785410183,,,,,,,,,,,,,
ビバレッジ,コーヒー,オリアート™ ゴールデンフォーム™ コールド ブリュー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785542563/4524785542563_11_s.jpg,,https://menu.starbucks.co.jp/4524785542563,256kcal,1.0g,23.8g,11.5g,0.04g,-,-,-,-,-,-,-,
ビバレッジ,エスプレッソ,ジンジャーブレッド ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785033153/4524785033153_11_s.jpg,,https://menu.starbucks.co.jp/4524785033153,320kcal,11.4g,16.3g,32.1g,0.3g,0.4g,31.8g,138mg,592mg,0.3g,9.9g,80mg,
ビバレッジ,エスプレッソ,スターバックス ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000223/4524785000223_11_s.jpg,,https://menu.starbucks.co.jp/4524785000223,223kcal,12.5g,11.5g,17.7g,0.3g,0.3g,17.4g,144mg,635mg,0.3g,6.7g,80mg,
ビバレッジ,エスプレッソ,ソイ ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785047396/4524785047396_11_s.jpg,,https://menu.starbucks.co.jp/4524785047396,208kcal,11.8g,13.8g,10.0g,0.7g,1.0g,9.0g,213mg,661mg,0.0g,2.0g,80mg,
ビバレッジ,エスプレッソ,アーモンドミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785433106/4524785433106_11_s.jpg,,https://menu.starbucks.co.jp/4524785433106,159kcal,2.9g,13.4g,9.1g,0.6g,4.5g,4.6g,234mg,200mg,0.0g,0.9g,80mg,
